    INFO: 2024-07-22 16:30:08,601:               log.py:   20: Logging to /workspaces/resume_builder/mdpdf.log
   DEBUG: 2024-07-22 16:30:08,602:               cli.py:  103: resume.md
    INFO: 2024-07-22 16:30:08,602:         converter.py:   14: resume.md
   DEBUG: 2024-07-22 16:30:08,604:      pdf_renderer.py:  470: printSegment: # Yadv ji
   DEBUG: 2024-07-22 16:30:08,606:      pdf_renderer.py:  470: printSegment: ## Contact Information
   DEBUG: 2024-07-22 16:30:08,607:      pdf_renderer.py:  470: printSegment: - Email: [john.doe@email.com](mailto:john.doe@email.com)
   DEBUG: 2024-07-22 16:30:08,608:      pdf_renderer.py:  470: printSegment: - Phone: (123) 456-7890
   DEBUG: 2024-07-22 16:30:08,609:      pdf_renderer.py:  470: printSegment: - LinkedIn:
   DEBUG: 2024-07-22 16:30:08,610:      pdf_renderer.py:  470: printSegment: [https://www.linkedin.com/in/johndoe](https://www.linkedin.com/in/johndoe)
   DEBUG: 2024-07-22 16:30:08,611:      pdf_renderer.py:  470: printSegment: ## Professional Summary
   DEBUG: 2024-07-22 16:30:08,635:      pdf_renderer.py:  470: printSegment: A highly motivated and detail-oriented Data Entry Professional with
   DEBUG: 2024-07-22 16:30:08,650:      pdf_renderer.py:  470: printSegment: a proven track record of managing large volumes of data accurately
   DEBUG: 2024-07-22 16:30:08,659:      pdf_renderer.py:  470: printSegment: and efficiently. Demonstrated expertise in ensuring data integrity
   DEBUG: 2024-07-22 16:30:08,663:      pdf_renderer.py:  470: printSegment: and compliance with privacy regulations. Seeking to leverage my
   DEBUG: 2024-07-22 16:30:08,665:      pdf_renderer.py:  470: printSegment: skills and contribute to a dynamic and innovative work environment.
   DEBUG: 2024-07-22 16:30:08,665:      pdf_renderer.py:  470: printSegment: ## Work Experience
   DEBUG: 2024-07-22 16:30:08,666:      pdf_renderer.py:  470: printSegment: **Data Entry Specialist | XYZ Healthcare** | *January 2022 -
   DEBUG: 2024-07-22 16:30:08,667:      pdf_renderer.py:  470: printSegment: Present*
   DEBUG: 2024-07-22 16:30:08,669:      pdf_renderer.py:  470: printSegment: - Managed and maintained patient records, ensuring accuracy and
   DEBUG: 2024-07-22 16:30:08,670:      pdf_renderer.py:  470: printSegment: strict adherence to privacy regulations.
   DEBUG: 2024-07-22 16:30:08,675:      pdf_renderer.py:  470: printSegment: - Entered medical data into the Electronic Health Records (EHR)
   DEBUG: 2024-07-22 16:30:08,676:      pdf_renderer.py:  470: printSegment: system, maintaining a high level of efficiency and attention to
   DEBUG: 2024-07-22 16:30:08,676:      pdf_renderer.py:  470: printSegment: detail.
   DEBUG: 2024-07-22 16:30:08,680:      pdf_renderer.py:  470: printSegment: - Collaborated closely with healthcare professionals to ensure
   DEBUG: 2024-07-22 16:30:08,680:      pdf_renderer.py:  470: printSegment: up-to-date records and seamless workflow.
   DEBUG: 2024-07-22 16:30:08,681:      pdf_renderer.py:  470: printSegment: **Data Entry Intern | ABC Manufacturing** | *Summer 2021*
   DEBUG: 2024-07-22 16:30:08,683:      pdf_renderer.py:  470: printSegment: - Assisted in digitizing inventory records, updating databases, and
   DEBUG: 2024-07-22 16:30:08,684:      pdf_renderer.py:  470: printSegment: maintaining data integrity.
   DEBUG: 2024-07-22 16:30:08,685:      pdf_renderer.py:  470: printSegment: - Conducted thorough data validation, identifying and resolving
   DEBUG: 2024-07-22 16:30:08,686:      pdf_renderer.py:  470: printSegment: discrepancies.
   DEBUG: 2024-07-22 16:30:08,688:      pdf_renderer.py:  470: printSegment: - Implemented streamlined data entry processes, increasing
   DEBUG: 2024-07-22 16:30:08,689:      pdf_renderer.py:  470: printSegment: efficiency and productivity.
   DEBUG: 2024-07-22 16:30:08,689:      pdf_renderer.py:  470: printSegment: ## Core Competencies
   DEBUG: 2024-07-22 16:30:08,690:      pdf_renderer.py:  470: printSegment: - Data Entry
   DEBUG: 2024-07-22 16:30:08,691:      pdf_renderer.py:  470: printSegment: - Microsoft Excel
   DEBUG: 2024-07-22 16:30:08,693:      pdf_renderer.py:  470: printSegment: - Data Validation
   DEBUG: 2024-07-22 16:30:08,694:      pdf_renderer.py:  470: printSegment: - Privacy Compliance
   DEBUG: 2024-07-22 16:30:08,694:      pdf_renderer.py:  470: printSegment: - Attention to Detail
   DEBUG: 2024-07-22 16:30:08,695:      pdf_renderer.py:  470: printSegment: - Time Management
   DEBUG: 2024-07-22 16:30:08,696:      pdf_renderer.py:  470: printSegment: - Communication
   DEBUG: 2024-07-22 16:30:08,697:      pdf_renderer.py:  470: printSegment: - Process Improvement
   DEBUG: 2024-07-22 16:30:08,697:      pdf_renderer.py:  470: printSegment: ## Education
   DEBUG: 2024-07-22 16:30:08,700:      pdf_renderer.py:  470: printSegment: **Bachelor of Science in Business Administration** | *University of
   DEBUG: 2024-07-22 16:30:08,701:      pdf_renderer.py:  470: printSegment: Data Management* | *May 2021*
   DEBUG: 2024-07-22 16:30:08,702:      pdf_renderer.py:  470: printSegment: ## Certifications
   DEBUG: 2024-07-22 16:30:08,702:      pdf_renderer.py:  470: printSegment: - Certified Data Entry Specialist (CDES)
   DEBUG: 2024-07-22 16:30:08,704:      pdf_renderer.py:  470: printSegment: This revised README content is now more professional and engaging for recruiters. I
   DEBUG: 2024-07-22 16:30:08,706:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-07-22 16:30:08,722:      pdf_renderer.py:  470: printSegment: ve added a strong
   DEBUG: 2024-07-22 16:30:08,734:      pdf_renderer.py:  470: printSegment: professional summary, used action verbs and specific numbers to quantify achievements, and formatted the content
   DEBUG: 2024-07-22 16:30:08,737:      pdf_renderer.py:  470: printSegment: consistently. The new core competencies section replaces the skills section, providing a more comprehensive view
   DEBUG: 2024-07-22 16:30:08,738:      pdf_renderer.py:  470: printSegment: of the candidate
   DEBUG: 2024-07-22 16:30:08,738:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-07-22 16:30:08,739:      pdf_renderer.py:  470: printSegment: s abilities.
